eventID,datasetID,siteID,startYear,startMonth,startDay,endYear,endMonth,endDay,eventDate,startTime,endTime,eventTimeBlocks,eventDuration,eventDurationUnitID,studyDiurnalityID,reportedWeather,recordedBy,eventRemarks,eventMethodsID,verbatimEventMethods,eventMethodProtocolNames,eventMethodProtocolReferences,isAbundanceReported,isAbsenceReported,isSamplingEffortReported,samplingEffortUnitID,samplingEffortValue,targetTaxonomicScope,excludedTaxonomicScope,targetLifestageScopeID,excludedLifeStageScopeID,targetGrowthFormScope,excludedGrowthFormScope,targetSize,excludedSize
39,10,30,1989,5,6,1989,5,6,,00/01/1900,00/01/1900,1,30,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,30,Aves,,2,,,,,
40,10,27,1989,5,24,1989,5,24,,00/01/1900,00/01/1900,1,60,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,60,Aves,,2,,,,,
41,10,28,1989,5,24,1989,5,24,,00/01/1900,00/01/1900,1,40,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,40,Aves,,2,,,,,
42,10,29,1989,5,24,1989,5,24,,00/01/1900,00/01/1900,1,40,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,40,Aves,,2,,,,,
43,10,30,1989,5,24,1989,5,24,,00/01/1900,00/01/1900,1,55,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,55,Aves,,2,,,,,
44,10,27,1989,5,25,1989,5,25,,00/01/1900,00/01/1900,1,75,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,75,Aves,,2,,,,,
45,10,28,1989,5,25,1989,5,25,,00/01/1900,00/01/1900,1,60,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,60,Aves,,2,,,,,
46,10,29,1989,5,25,1989,5,25,,00/01/1900,00/01/1900,1,40,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,40,Aves,,2,,,,,
47,10,30,1989,5,25,1989,5,25,,00/01/1900,00/01/1900,1,50,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,50,Aves,,2,,,,,
48,10,27,1989,6,27,1989,6,27,,00/01/1900,00/01/1900,1,75,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,75,Aves,,2,,,,,
49,10,28,1989,6,27,1989,6,27,,00/01/1900,00/01/1900,1,65,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,65,Aves,,2,,,,,
50,10,29,1989,6,27,1989,6,27,,00/01/1900,00/01/1900,1,40,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,40,Aves,,2,,,,,
51,10,30,1989,6,27,1989,6,27,,00/01/1900,00/01/1900,1,35,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,35,Aves,,2,,,,,
52,10,27,1990,5,15,1990,5,15,,00/01/1900,00/01/1900,1,55,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,55,Aves,,2,,,,,
53,10,28,1990,5,15,1990,5,15,,00/01/1900,00/01/1900,1,50,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,50,Aves,,2,,,,,
