,previousIdentification,scientificName,observation
145,Dryocopus martius),NA,NOT FOUND in IOC World Bird List or BirdLife International
146,Egretta alba,Egretta alba,Ok (BirdLife International)
147,Egretta garzetta,Egretta garzetta,Ok (IOC World Bird List)
148,Emberiza calandra,Emberiza calandra,Ok (IOC World Bird List)
149,Emberiza citrinella,Emberiza citrinella,Ok (IOC World Bird List)
150,Emberiza hortulana,Emberiza hortulana,Ok (IOC World Bird List)
151,Emberiza schoeniclus,Emberiza schoeniclus,Ok (IOC World Bird List)
152,Erithacus rubecula,Erithacus rubecula,Ok (IOC World Bird List)
153,Falco columbarius,Falco columbarius,Ok (IOC World Bird List)
154,Falco peregrinus,Falco peregrinus,Ok (IOC World Bird List)
155,Falco subbuteo,Falco subbuteo,Ok (IOC World Bird List)
156,Falco tinnuculus,Falco tinnunculus,Updated according to IOC World Bird List
157,Falco tinnunculus,Falco tinnunculus,Ok (IOC World Bird List)
158,Ficedula albicolis,Ficedula albicollis,Updated according to IOC World Bird List
159,Ficedula albicollis,Ficedula albicollis,Ok (IOC World Bird List)
160,Ficedula hypoleuca,Ficedula hypoleuca,Ok (IOC World Bird List)
161,Ficedula parva,Ficedula parva,Ok (IOC World Bird List)
162,Fringilla coelebs,Fringilla coelebs,Ok (IOC World Bird List)
163,Fringilla montifringila,Fringilla montifringilla,Updated according to IOC World Bird List
164,Fringilla montifringilla,Fringilla montifringilla,Ok (IOC World Bird List)
165,Fulica astra,Fulica atra,Updated according to IOC World Bird List
166,Fulica atra,Fulica atra,Ok (IOC World Bird List)
167,Galerida cristata,Galerida cristata,Ok (IOC World Bird List)
168,Gallinago gallinago,Gallinago gallinago,Ok (IOC World Bird List)
169,Gallinago media,Gallinago media,Ok (IOC World Bird List)
170,Gallinula chlorophus,Gallinula chloropus,Updated according to IOC World Bird List
171,Gallinula chloropus,Gallinula chloropus,Ok (IOC World Bird List)
172,Garrulus garrulus,NA,NOT FOUND in IOC World Bird List or BirdLife International
173,Garrulus glandarius,Garrulus glandarius,Ok (IOC World Bird List)
174,Garullus glandarius,NA,NOT FOUND in IOC World Bird List or BirdLife International
