"","previousIdentification","scientificName","observation"
"325","Stercorarius parasiticus","Stercorarius parasiticus","Ok birdL"
"326","Stercorarius pomarinus","Stercorarius pomarinus","Ok birdL"
"327","Sterna caspica","Sterna caspica","Ok birdL"
"328","Sterna hirundo","Sterna hirundo","Ok birdL"
"329","Sternula albifrons","Sternula albifrons","Ok birdL"
"330","Streptopelia decaocto","Streptopelia decaocto","Ok birdL"
"331","Streptopelia turtur","Streptopelia turtur","Ok birdL"
"332","Strix aluco","Strix aluco","Ok birdL"
"333","Strunus vulgaris","Strunus vulgaris","Ok birdL"
"334","Strurnus vulgaris","Strurnus vulgaris","Ok birdL"
"335","Sturnus vulgaris","Sturnus vulgaris","Ok birdL"
"336","Svivia borin","Svivia borin","Ok birdL"
"337","Sylvia atricapilla","Sylvia atricapilla","Ok birdL"
"338","Sylvia borin","Sylvia borin","Ok birdL"
"339","Sylvia communis","Sylvia communis","Ok birdL"
"340","Sylvia curruca","Sylvia curruca","Ok birdL"
"341","Sylvia nisoria","Sylvia nisoria","Ok birdL"
"342","Sylvia nissoria ","Sylvia nissoria ","Ok birdL"
"343","Tadorna ferruginea","Tadorna ferruginea","Ok birdL"
"344","Tadorna tadorna","Tadorna tadorna","Ok birdL"
"345","Tachybaptus ruficollis","Tachybaptus ruficollis","Ok birdL"
"346","Tatrastes bonasia","Tatrastes bonasia","Ok birdL"
"347","Tetrao tetrix ","Tetrao tetrix ","Ok birdL"
"348","Tetrao urogallus ","Tetrao urogallus ","Ok birdL"
"349","Tetrastes bonasia","Tetrastes bonasia","Ok birdL"
"350","Tringa erythropus ","Tringa erythropus ","Ok birdL"
"351","Tringa glareola ","Tringa glareola ","Ok birdL"
"352","Tringa hypoleuca","Tringa hypoleuca","Ok birdL"
"353","Tringa nebularia","Tringa nebularia","Ok birdL"
"354","Tringa ochropus","Tringa ochropus","Ok birdL"
"355","Tringa stagnatilis","Tringa stagnatilis","Ok birdL"
"356","Tringa totanus","Tringa totanus","Ok birdL"
"357","Troglodytes troglodytes","Troglodytes troglodytes","Ok birdL"
"358","Tudrus torquatus","Tudrus torquatus","Ok birdL"
"359","Turdus iliacus","Turdus iliacus","Ok birdL"
"360","Turdus merula","Turdus merula","Ok birdL"
"361","Turdus philomelos","Turdus philomelos","Ok birdL"
"362","Turdus pilaris","Turdus pilaris","Ok birdL"
"363","Turdus torquatus","Turdus torquatus","Ok birdL"
"364","Turdus viscivorus","Turdus viscivorus","Ok birdL"
"365","Tyto alba","Tyto alba","Ok birdL"
"366","Upupa epops","Upupa epops","Ok birdL"
"367","Upupa epos","Upupa epos","Ok birdL"
"368","Vanellus gregarius","Vanellus gregarius","Ok birdL"
"369","Vanellus vanellus","Vanellus vanellus","Ok birdL"
